style,name,alpha_acid,substitutions,description
Belgian & French Ale,Idaho (U.S.),12-15%,,"A dual-purpose variety with flavors and aromas of tropical fruit, orange, apricot, black tea, pine, and herbs."
Belgian & French Ale,Jarrylo™ (U.S.),15-17%,,"A high-alpha hop, the flavor imparts a mild sweetness and a tea-like spice, with flavors and aromas of banana, pear, spice, and herbal notes."
Belgian & French Ale,Lemondrop (U.S.),5-7%,Amarillo,"This aroma hop originated from a cross between Cascade and USDA 19058 male. It features (of course) lemony, floral, earthy, herbal, grassy, citrus, pepper, and pine notes."
Belgian & French Ale,Liberty,3-6%,"Hallertauer, Hallertauer Tradition, Mt. Hood","Mild and clean aroma, slightly spicy character."
Belgian & French Ale,Magnum (German),12-16%,"Northdown, Northern Brewer",Known for bittering value and quality.
Belgian & French Ale,Magnum (U.S.),10-14%,"Northdown, Northern Brewer",High alpha variety
Belgian & French Ale,Mandarina Bavaria (German),7-10%,Cascade,Mandarin orangey flavor and aroma.
Belgian & French Ale,Mt. Hood,3-8%,"Crystal, French Strisslespalt, Hersbrucker","Mild, pleasant, and clean, somewhat pungent and resiny."
Belgian & French Ale,Mt. Rainier (U.S.),5-8.1%,Hallertauer,only available in 2012
Belgian & French Ale,Pekko™ (U.S.),13-16%,Saaz,"A clean and pleasant variety with floral mint, herbal, citrus, thyme, cucumber, lemon, and sage characteristics. Sometimes described as “Saaz like.”"
Belgian & French Ale,Perle (German),6-8.5%,"Northern Brewer, U.S. Perle","Moderately intense, good and hoppy, fruity and a little spicy."
Belgian & French Ale,Perle (U.S.),6-9.5%,"Chinook, Cluster, Galena, Northern Brewer","Known for its aromatic and bittering properties, pleasant and slightly spicy."
Belgian & French Ale,Pilgrim (U.K.),9-13%,"U.K. Challenger, U.K. Target","Dual purpose hop with citrusy, fruity, spicy, and lemon aromas."
Belgian & French Ale,Polaris (German),18-24%,,"Minty, icy quality."
Belgian & French Ale,Rakau (New Zealand),9-11%,,"High alpha acids and oil content (particularly myrcene) with low cohumulone, making it ideal for the “hoppy not bitter” school of new world IPAs. Aromas and flavors of ripe fruit, grassiness, lemon, grapefruit juice, and hints of tropical flowers."
Belgian & French Ale,Saaz (Czech),3-4.5%,U.S. Saaz,"Very mild with pleasant hoppy notes, earthy, spicy, and herbal."
Belgian & French Ale,Saaz (U.S.),3-5%,Czech Saaz,"Mild and pleasant, earthy and spicy."
Belgian & French Ale,Santiam,5-7.9%,"German Spalt, German Spalt Select, German Tettnanger",Noble characteristics.
Belgian & French Ale,Saphir (German),2.5-4.5%,Any noble hops,Mild aroma hop.
Belgian & French Ale,Sovereign (U.K.),5-6%,U.K. Fuggle,mild flavor
Belgian & French Ale,Spalt (German),4-5.5%,"German Spalt Select, U.S. Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy."
Belgian & French Ale,Spalt Select (German),4-6%,"German Spalt, U.S. Saaz, U.S. Tettnanger",Very fine Spalter-type aroma.
Belgian & French Ale,Spalt Select (U.S.),3-5%,"Saaz, Tettnanger",Medium intensity and pleasant hoppy qualities. Medium-strong aroma with wild American tones.
Belgian & French Ale,Sterling,6-9%,Saaz,"Herbal, spicy, pleasant aroma, hint of floral and citrus."
Belgian & French Ale,Strisslespalt (France),3-5%,"Crystal, Hersbrucker, Mt. Hood","Medium intensity, pleasant, hoppy."
Belgian & French Ale,Styrian Bobek,3.5-7%,"Styrian Golding, U.K. Fuggle, U.S. Fuggle, Willamette","Intense, pleasant hop aroma. Similar to Fuggle type."
Belgian & French Ale,Styrian Celeia,3-6%,"Saaz, Slovenia Bobeck, Styrian Golding","Pleasant, hoppy. A high-quality aroma variety with excellent bitterness and aroma qualities."
Belgian & French Ale,Target (U.K.),9.5-12.5%,"Fuggle, Willamette","Pleasant English hop aroma, quite intense."
Belgian & French Ale,Tettnanger (German),3.5-5.5%,"German Spalt, German Spalt Select, Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy, herbal."
Belgian & French Ale,Tettnanger (U.S.),3.4-5.2%,"Czech Saaz, German Spalt, Santiam","An aromatic hop, mild and slightly spicy."
Belgian & French Ale,Tradition (German),5-7%,"Hallertauer Mittelfrüh, Hersbrucker",Very fine and similar to Hallertauer Mittelfrüh.
Belgian & French Ale,Ultra,2-4.1%,"Hallertauer Tradition, Liberty, Saaz","Very good to outstanding, some Saaz-like qualities. Aromatic properties similar to Hallertauer."
Belgian & French Ale,Vanguard,4-5.7%,"Hallertauer Mittelfrüh, Saaz",Aroma similar to continental European types.
Belgian & French Ale,Wai-iti (New Zealand),3.40%,Saaz,"Aroma hop with a startlingly citrus aroma made up of mandarin, lemon and lime zest"
Belgian & French Ale,Wakatu (New Zealand),NA,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness."
Belgian Lambic & Sour Ale,Boadicea (U.K.),8-9%,,spicy
Belgian Lambic & Sour Ale,El Dorado (U.S.),14-16%,,"Dual purpose hop with fruity, tropical flavors."
Belgian Lambic & Sour Ale,Hallertauer (U.S.),3.5-5.5%,"Hallertauer Tradition, Liberty, Ultra","Very mild, pleasant, and slightly flowery, some spicy."
Belgian Lambic & Sour Ale,Hallertauer Gold (German),6-6.5%,"Crystal, Mt. Hood",Known for its aromatic properties similar to Hallertauer.
Belgian Lambic & Sour Ale,Hallertauer Mittelfrüh (German),3-5.5%,"German Tradition, Liberty, Ultra",Mild and pleasant.
Belgian Lambic & Sour Ale,Hallertauer Tradition (German),3.5-5.5%,"Crystal, Liberty",Known for its aromatic properties. A replacement for Hallertauer Mittelfrüh.
Belgian Lambic & Sour Ale,Hersbrucker (German),3-5.5%,"French Strisslespalt, Mt. Hood","Mild to semi-strong, pleasant, hoppy."
Belgian Lambic & Sour Ale,Horizon,11-14%,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer."
Belgian Lambic & Sour Ale,Liberty,3-6%,"Hallertauer, Hallertauer Tradition, Mt. Hood","Mild and clean aroma, slightly spicy character."
Belgian Lambic & Sour Ale,Magnum (German),12-16%,"Northdown, Northern Brewer",Known for bittering value and quality.
Belgian Lambic & Sour Ale,Magnum (U.S.),10-14%,"Northdown, Northern Brewer",High alpha variety
Belgian Lambic & Sour Ale,Mt. Hood,3-8%,"Crystal, French Strisslespalt, Hersbrucker","Mild, pleasant, and clean, somewhat pungent and resiny."
Belgian Lambic & Sour Ale,Perle (German),6-8.5%,"Northern Brewer, U.S. Perle","Moderately intense, good and hoppy, fruity and a little spicy."
Belgian Lambic & Sour Ale,Perle (U.S.),6-9.5%,"Chinook, Cluster, Galena, Northern Brewer","Known for its aromatic and bittering properties, pleasant and slightly spicy."
Belgian Lambic & Sour Ale,Saaz (Czech),3-4.5%,U.S. Saaz,"Very mild with pleasant hoppy notes, earthy, spicy, and herbal."
Belgian Lambic & Sour Ale,Saaz (U.S.),3-5%,Czech Saaz,"Mild and pleasant, earthy and spicy."
Belgian Lambic & Sour Ale,Santiam,5-7.9%,"German Spalt, German Spalt Select, German Tettnanger",Noble characteristics.
Belgian Lambic & Sour Ale,Saphir (German),2.5-4.5%,Any noble hops,Mild aroma hop.
Belgian Lambic & Sour Ale,Sovereign (U.K.),5-6%,U.K. Fuggle,mild flavor
Belgian Lambic & Sour Ale,Spalt (German),4-5.5%,"German Spalt Select, U.S. Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy."
Belgian Lambic & Sour Ale,Spalt Select (German),4-6%,"German Spalt, U.S. Saaz, U.S. Tettnanger",Very fine Spalter-type aroma.
Belgian Lambic & Sour Ale,Spalt Select (U.S.),3-5%,"Saaz, Tettnanger",Medium intensity and pleasant hoppy qualities. Medium-strong aroma with wild American tones.
Belgian Lambic & Sour Ale,Sterling,6-9%,Saaz,"Herbal, spicy, pleasant aroma, hint of floral and citrus."
Belgian Lambic & Sour Ale,Strisslespalt (France),3-5%,"Crystal, Hersbrucker, Mt. Hood","Medium intensity, pleasant, hoppy."
Belgian Lambic & Sour Ale,Target (U.K.),9.5-12.5%,"Fuggle, Willamette","Pleasant English hop aroma, quite intense."
Belgian Lambic & Sour Ale,Tettnanger (German),3.5-5.5%,"German Spalt, German Spalt Select, Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy, herbal."
Belgian Lambic & Sour Ale,Tettnanger (U.S.),3.4-5.2%,"Czech Saaz, German Spalt, Santiam","An aromatic hop, mild and slightly spicy."
Belgian Lambic & Sour Ale,Tradition (German),5-7%,"Hallertauer Mittelfrüh, Hersbrucker",Very fine and similar to Hallertauer Mittelfrüh.
Belgian Lambic & Sour Ale,Ultra,2-4.1%,"Hallertauer Tradition, Liberty, Saaz","Very good to outstanding, some Saaz-like qualities. Aromatic properties similar to Hallertauer."
Belgian Lambic & Sour Ale,Vanguard,4-5.7%,"Hallertauer Mittelfrüh, Saaz",Aroma similar to continental European types.
Belgian Lambic & Sour Ale,Wakatu (New Zealand),NA,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness."
Belgian Strong Ale,Boadicea (U.K.),8-9%,,spicy
Belgian Strong Ale,El Dorado (U.S.),14-16%,,"Dual purpose hop with fruity, tropical flavors."
Belgian Strong Ale,Hallertauer (U.S.),3.5-5.5%,"Hallertauer Tradition, Liberty, Ultra","Very mild, pleasant, and slightly flowery, some spicy."
Belgian Strong Ale,Hallertauer Gold (German),6-6.5%,"Crystal, Mt. Hood",Known for its aromatic properties similar to Hallertauer.
Belgian Strong Ale,Hallertauer Mittelfrüh (German),3-5.5%,"German Tradition, Liberty, Ultra",Mild and pleasant.
Belgian Strong Ale,Hallertauer Tradition (German),3.5-5.5%,"Crystal, Liberty",Known for its aromatic properties. A replacement for Hallertauer Mittelfrüh.
Belgian Strong Ale,Hersbrucker (German),3-5.5%,"French Strisslespalt, Mt. Hood","Mild to semi-strong, pleasant, hoppy."
Belgian Strong Ale,Horizon,11-14%,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer."
Belgian Strong Ale,Jarrylo™ (U.S.),15-17%,,"A high-alpha hop, the flavor imparts a mild sweetness and a tea-like spice, with flavors and aromas of banana, pear, spice, and herbal notes."
Belgian Strong Ale,Liberty,3-6%,"Hallertauer, Hallertauer Tradition, Mt. Hood","Mild and clean aroma, slightly spicy character."
Belgian Strong Ale,Magnum (German),12-16%,"Northdown, Northern Brewer",Known for bittering value and quality.
Belgian Strong Ale,Magnum (U.S.),10-14%,"Northdown, Northern Brewer",High alpha variety
Belgian Strong Ale,Mt. Hood,3-8%,"Crystal, French Strisslespalt, Hersbrucker","Mild, pleasant, and clean, somewhat pungent and resiny."
Belgian Strong Ale,Perle (German),6-8.5%,"Northern Brewer, U.S. Perle","Moderately intense, good and hoppy, fruity and a little spicy."
Belgian Strong Ale,Perle (U.S.),6-9.5%,"Chinook, Cluster, Galena, Northern Brewer","Known for its aromatic and bittering properties, pleasant and slightly spicy."
Belgian Strong Ale,Pilgrim (U.K.),9-13%,"U.K. Challenger, U.K. Target","Dual purpose hop with citrusy, fruity, spicy, and lemon aromas."
Belgian Strong Ale,Rakau (New Zealand),9-11%,,"High alpha acids and oil content (particularly myrcene) with low cohumulone, making it ideal for the “hoppy not bitter” school of new world IPAs. Aromas and flavors of ripe fruit, grassiness, lemon, grapefruit juice, and hints of tropical flowers."
Belgian Strong Ale,Saaz (Czech),3-4.5%,U.S. Saaz,"Very mild with pleasant hoppy notes, earthy, spicy, and herbal."
Belgian Strong Ale,Saaz (U.S.),3-5%,Czech Saaz,"Mild and pleasant, earthy and spicy."
Belgian Strong Ale,Santiam,5-7.9%,"German Spalt, German Spalt Select, German Tettnanger",Noble characteristics.
Belgian Strong Ale,Saphir (German),2.5-4.5%,Any noble hops,Mild aroma hop.
Belgian Strong Ale,Sovereign (U.K.),5-6%,U.K. Fuggle,mild flavor
Belgian Strong Ale,Spalt (German),4-5.5%,"German Spalt Select, U.S. Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy."
Belgian Strong Ale,Spalt Select (German),4-6%,"German Spalt, U.S. Saaz, U.S. Tettnanger",Very fine Spalter-type aroma.
Belgian Strong Ale,Spalt Select (U.S.),3-5%,"Saaz, Tettnanger",Medium intensity and pleasant hoppy qualities. Medium-strong aroma with wild American tones.
Belgian Strong Ale,Sterling,6-9%,Saaz,"Herbal, spicy, pleasant aroma, hint of floral and citrus."
Belgian Strong Ale,Strisslespalt (France),3-5%,"Crystal, Hersbrucker, Mt. Hood","Medium intensity, pleasant, hoppy."
Belgian Strong Ale,Styrian Bobek,3.5-7%,"Styrian Golding, U.K. Fuggle, U.S. Fuggle, Willamette","Intense, pleasant hop aroma. Similar to Fuggle type."
Belgian Strong Ale,Styrian Celeia,3-6%,"Saaz, Slovenia Bobeck, Styrian Golding","Pleasant, hoppy. A high-quality aroma variety with excellent bitterness and aroma qualities."
Belgian Strong Ale,Target (U.K.),9.5-12.5%,"Fuggle, Willamette","Pleasant English hop aroma, quite intense."
Belgian Strong Ale,Tettnanger (German),3.5-5.5%,"German Spalt, German Spalt Select, Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy, herbal."
Belgian Strong Ale,Tettnanger (U.S.),3.4-5.2%,"Czech Saaz, German Spalt, Santiam","An aromatic hop, mild and slightly spicy."
Belgian Strong Ale,Tradition (German),5-7%,"Hallertauer Mittelfrüh, Hersbrucker",Very fine and similar to Hallertauer Mittelfrüh.
Belgian Strong Ale,Ultra,2-4.1%,"Hallertauer Tradition, Liberty, Saaz","Very good to outstanding, some Saaz-like qualities. Aromatic properties similar to Hallertauer."
Belgian Strong Ale,Vanguard,4-5.7%,"Hallertauer Mittelfrüh, Saaz",Aroma similar to continental European types.
Belgian Strong Ale,Wakatu (New Zealand),NA,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness."
Bock,Boadicea (U.K.),8-9%,,spicy
Bock,Brewer's Gold (German),6-7%,"Bullion, Galena, Northdown, Northern Brewer","Black currant, fruity, spicy."
Bock,El Dorado (U.S.),14-16%,,"Dual purpose hop with fruity, tropical flavors."
Bock,Green Bullet (New Zealand),11-14%,"Crystal, Hallertauer Tradition, Liberty, Mt. Hood, Ultra",Dual purpose hop.
Bock,Hallertauer (U.S.),3.5-5.5%,"Hallertauer Tradition, Liberty, Ultra","Very mild, pleasant, and slightly flowery, some spicy."
Bock,Hallertauer Gold (German),6-6.5%,"Crystal, Mt. Hood",Known for its aromatic properties similar to Hallertauer.
Bock,Hallertauer Mittelfrüh (German),3-5.5%,"German Tradition, Liberty, Ultra",Mild and pleasant.
Bock,Hallertauer Tradition (German),3.5-5.5%,"Crystal, Liberty",Known for its aromatic properties. A replacement for Hallertauer Mittelfrüh.
Bock,Herkules (German),12-17%,,bittering hop
Bock,Hersbrucker (German),3-5.5%,"French Strisslespalt, Mt. Hood","Mild to semi-strong, pleasant, hoppy."
Bock,Horizon,11-14%,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer."
Bock,Liberty,3-6%,"Hallertauer, Hallertauer Tradition, Mt. Hood","Mild and clean aroma, slightly spicy character."
Bock,Magnum (German),12-16%,"Northdown, Northern Brewer",Known for bittering value and quality.
Bock,Magnum (U.S.),10-14%,"Northdown, Northern Brewer",High alpha variety
Bock,Merkur (German),12-15%,Magnum,"high-alpha, bittering hop"
Bock,Motueka (New Zealand),6.5-7.5%,"Czech Saaz, U.S. Saaz","Aroma hop that is fruity, tropical and citrusy."
Bock,Mt. Hood,3-8%,"Crystal, French Strisslespalt, Hersbrucker","Mild, pleasant, and clean, somewhat pungent and resiny."
Bock,Mt. Rainier (U.S.),5-8.1%,Hallertauer,only available in 2012
Bock,Pacifica (New Zealand),5-6%,Hallertau family,An aroma hop with some citrus and floral character
Bock,Pekko™ (U.S.),13-16%,Saaz,"A clean and pleasant variety with floral mint, herbal, citrus, thyme, cucumber, lemon, and sage characteristics. Sometimes described as “Saaz like.”"
Bock,Perle (German),6-8.5%,"Northern Brewer, U.S. Perle","Moderately intense, good and hoppy, fruity and a little spicy."
Bock,Perle (U.S.),6-9.5%,"Chinook, Cluster, Galena, Northern Brewer","Known for its aromatic and bittering properties, pleasant and slightly spicy."
Bock,Saaz (Czech),3-4.5%,U.S. Saaz,"Very mild with pleasant hoppy notes, earthy, spicy, and herbal."
Bock,Saaz (U.S.),3-5%,Czech Saaz,"Mild and pleasant, earthy and spicy."
Bock,Santiam,5-7.9%,"German Spalt, German Spalt Select, German Tettnanger",Noble characteristics.
Bock,Saphir (German),2.5-4.5%,Any noble hops,Mild aroma hop.
Bock,Select (German),4-6%,"Czech Saaz, German Spalt, Tettnanger",noble-type aroma
Bock,Sladek (Czech),5-6%,"Czech Saaz, U.S. Saaz, U.S. Tettnanger",A dual-purpose Saaz hybrid.
Bock,Sovereign (U.K.),5-6%,U.K. Fuggle,mild flavor
Bock,Spalt (German),4-5.5%,"German Spalt Select, U.S. Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy."
Bock,Spalt Select (German),4-6%,"German Spalt, U.S. Saaz, U.S. Tettnanger",Very fine Spalter-type aroma.
Bock,Spalt Select (U.S.),3-5%,"Saaz, Tettnanger",Medium intensity and pleasant hoppy qualities. Medium-strong aroma with wild American tones.
Bock,Sterling,6-9%,Saaz,"Herbal, spicy, pleasant aroma, hint of floral and citrus."
Bock,Strisslespalt (France),3-5%,"Crystal, Hersbrucker, Mt. Hood","Medium intensity, pleasant, hoppy."
Bock,Super Alpha (New Zealand),10-12%,,"Earthy, piney bittering hop."
Bock,Target (U.K.),9.5-12.5%,"Fuggle, Willamette","Pleasant English hop aroma, quite intense."
Bock,Taurus (German),12-17%,Magnum,high-alpha hop
Bock,Tettnanger (German),3.5-5.5%,"German Spalt, German Spalt Select, Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy, herbal."
Bock,Tettnanger (U.S.),3.4-5.2%,"Czech Saaz, German Spalt, Santiam","An aromatic hop, mild and slightly spicy."
Bock,Tradition (German),5-7%,"Hallertauer Mittelfrüh, Hersbrucker",Very fine and similar to Hallertauer Mittelfrüh.
Bock,Ultra,2-4.1%,"Hallertauer Tradition, Liberty, Saaz","Very good to outstanding, some Saaz-like qualities. Aromatic properties similar to Hallertauer."
Bock,Vanguard,4-5.7%,"Hallertauer Mittelfrüh, Saaz",Aroma similar to continental European types.
Bock,Wakatu (New Zealand),NA,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness."
Brown Ale,Ahtanum™,4-6.3%,"Amarillo, Cascade","Floral, citrus, sharp, and piney."
Brown Ale,Boadicea (U.K.),8-9%,,spicy
Brown Ale,Bobeck (Slovenia),3.5-7%,U.K. Fuggle,
Brown Ale,Brewer's Gold (U.S.),7-10%,Bullion,Bittering hop with neutral aroma character.
Brown Ale,Bullion (U.K.),6.5-9%,"Columbus, Northern Brewer",A rich hop primarily used for bittering. Intense blackcurrant aroma.
Brown Ale,Cascade (U.S.),4.5-7%,"Amarillo, Centennial, possibly Columbus","Pleasant, flowery, spicy, and citrusy. Can have a grapefruit flavor."
Brown Ale,Cascade (New Zealand),6-8%,"Ahtanum, Cascade, Centennial","Similar to US Cascade, has floral, citrus grapefruit character."
Brown Ale,Celeia (Slovenia),3-6%,Styrian Golding,"Moderate and pleasant zesty bitterness with matching floral aroma, making its use widespread in both ale and lager brewing. Stores very well."
Brown Ale,Centennial,8-11.5%,"Cascade, possibly Columbus",Medium with floral and citrus tones.
Brown Ale,Chinook,10-14%,"Columbus, Northern Brewer, Nugget, U.K. Target","Mild to medium-heavy, spicy, piney, and grapefruity."
Brown Ale,Cluster,5.5-8.5%,Galena,Medium and quite spicy.
Brown Ale,Columbus,11-16%,"Chinook, Northern Brewer, Nugget, U.K. Target","Pleasant, with pungent aroma."
Brown Ale,El Dorado (U.S.),14-16%,,"Dual purpose hop with fruity, tropical flavors."
Brown Ale,First Gold (U.K.),6.5-8.5%,"maybe Crystal, U.K. Kent Golding",A little like Golding family; spicy.
Brown Ale,Fuggle (U.K.),4-5.5%,"Styrian Golding, U.S. Fuggle, Willamette","Mild, pleasant, hoppy, and robust."
Brown Ale,Fuggle (U.S.),4-5.5%,"Styrian Golding, U.K. Fuggle, U.S. Tettnanger, Willamette","Mild and pleasant, earthy and fruity."
Brown Ale,Galena,10-14%,"Chinook, Nugget, Pride of Ringwood","Medium but pleasant hoppiness, citrusy."
Brown Ale,Golding (U.S.),4-6%,"U.K. Golding, U.K. Progress, Whitbread Golding Variety","Mild, extremely pleasant, and gently hoppy."
Brown Ale,Herald (U.K.),11-13%,,New dual-purpose hop
Brown Ale,Horizon,11-14%,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer."
Brown Ale,Kent Golding (U.K.),4-5.5%,"U.K. Progress, U.S. Golding, Whitbread Golding Variety","Gentle, fragrant, and pleasant."
Brown Ale,Magnum (German),12-16%,"Northdown, Northern Brewer",Known for bittering value and quality.
Brown Ale,Magnum (U.S.),10-14%,"Northdown, Northern Brewer",High alpha variety
Brown Ale,Newport,13-17%,"Galena, Nugget",Fairly pungent.
Brown Ale,Northdown (U.K.),7.5-9.5%,,Fruity with some spiciness.
Brown Ale,Northern Brewer (German),7-10%,"Chinook, U.S. Northern Brewer",Medium-strong with some wild tones.
Brown Ale,Northern Brewer (U.S.),6-10%,"Chinook, Nugget",Medium-strong with some wild tones.
Brown Ale,Northwest Golding,4-5%,,Known for aromatic properties.
Brown Ale,Nugget,11-14.5%,"Chinook, Columbus, Galena, U.K. Target",Quite heavy and herbal.
Brown Ale,Olympic,11-13%,Chinook,"Mild to medium, citrusy aroma, spicy."
Brown Ale,Opal (German),5-8%,Styrian Golding,German dual-purpose hop
Brown Ale,Pacific Jade (New Zealand),12-14%,,"A ""soft"" bittering hop with spicy and citrus aroma qualities."
Brown Ale,Palisade®,5.5-9.5%,Perhaps Cascade,"Some ""American"" characteristics."
Brown Ale,Pekko™ (U.S.),13-16%,Saaz,"A clean and pleasant variety with floral mint, herbal, citrus, thyme, cucumber, lemon, and sage characteristics. Sometimes described as “Saaz like.”"
Brown Ale,Perle (German),6-8.5%,"Northern Brewer, U.S. Perle","Moderately intense, good and hoppy, fruity and a little spicy."
Brown Ale,Perle (U.S.),6-9.5%,"Chinook, Cluster, Galena, Northern Brewer","Known for its aromatic and bittering properties, pleasant and slightly spicy."
Brown Ale,Phoenix (U.K.),9-13%,"U.K. Challenger, U.K. Kent Golding, U.K. Northdown","Dual purpose hop with aromas of pine, chocolate, molasses, and floral."
Brown Ale,Pilgrim (U.K.),9-13%,"U.K. Challenger, U.K. Target","Dual purpose hop with citrusy, fruity, spicy, and lemon aromas."
Brown Ale,Pioneer (U.K.),8-10%,U.K. Kent Golding,"A mild, typical English aroma."
Brown Ale,Progress (U.K.),5-7.5%,"Fuggle, U.K. Kent Golding","Moderately strong, good aroma."
Brown Ale,Santiam,5-7.9%,"German Spalt, German Spalt Select, German Tettnanger",Noble characteristics.
Brown Ale,Satus,12.5-14%,Galena,Known for its bittering and aromatic properties.
Brown Ale,Simcoe®,12-14%,,A bittering and aromatic hop.
Brown Ale,Sorachi Ace (Japan),13-16%,,Bittering hop with lemony aroma
Brown Ale,Southern Cross (New Zealand),11-14%,,"Piney, resinous bittering hop"
Brown Ale,Sovereign (U.K.),5-6%,U.K. Fuggle,mild flavor
Brown Ale,Styrian Aurora,7-9.5%,"Northern Brewer, Styrian Golding, U.S. Styrian Bobek","Intense, pleasant and hoppy. Very suitable for extraction and for combination with other varieties in the brewing process."
Brown Ale,Styrian Golding (Slovenia),4.5-6%,"U.K. Fuggle, U.S. Fuggle, Willamette","Delicate, slightly spicy."
Brown Ale,Summit™,16-18%,Simcoe,Ultra high-alpha bittering hop
Brown Ale,Sun,12-16%,Magnum,High-alpha hop with intense character
Brown Ale,Super Alpha (New Zealand),10-12%,,"Earthy, piney bittering hop."
Brown Ale,Target (U.K.),9.5-12.5%,"Fuggle, Willamette","Pleasant English hop aroma, quite intense."
Brown Ale,Tomahawk®,15-17%,Columbus,Primarily a bittering hop.
Brown Ale,Wakatu (New Zealand),NA,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness."
Brown Ale,Warrior®,15-17%,Nugget,A bittering and aromatic hop.
Brown Ale,WGV (Whitbread Golding Variety) (U.K.),5-7%,"Glacier, Styrian Golding, U.K. Kent Golding, U.K. Progress, U.K. Target","Quite pleasant and hoppy, moderately intense, slightly spicy."
Brown Ale,Willamette,3.5-6%,"Styrian Golding, U.S. Fuggle, U.S. Tettnanger","Mild and pleasant, slightly spicy, fruity, floral, a little earthy."
Brown Ale,Yakima Cluster,6-8.5%,,Used as a kettle hop for bittering.
Brown Ale,Zeus,13-17%,Columbus,Aromatic and pleasant.
Cider,Azacca® (U.S.),14-16%,,"A dual-use, high-alpha hop. Aroma and flavor characteristics of apricot, ripe mango, orchard fruit, orange, grapefruit, pine, and pineapple."
Cider,Boadicea (U.K.),8-9%,,spicy
Cider,Comet (U.S.),9-11%,,"Grapefruit, lemon, orange, and grassy notes."
Cider,El Dorado (U.S.),14-16%,,"Dual purpose hop with fruity, tropical flavors."
Cider,Eureka!,17-19%,Simcoe,"An offspring of Apollo and German Merkur, Eureka! has aromas and characteristics of strong herbal notes, pine, mint, grapefruit rind, tangerine, and other citrus. Great for brewers looking for varieties to use in late addition, whirlpool, or “hop stand” hop additions."
Cider,Idaho (U.S.),12-15%,,"A dual-purpose variety with flavors and aromas of tropical fruit, orange, apricot, black tea, pine, and herbs."
Cider,Sovereign (U.K.),5-6%,U.K. Fuggle,mild flavor
English & Scottish Strong Ale,Admiral (U.K.),13.5-16%,"U.K. Challenger, U.K. Northdown, U.K. Target",Known for its bittering potential.
English & Scottish Strong Ale,Boadicea (U.K.),8-9%,,spicy
English & Scottish Strong Ale,Bobeck (Slovenia),3.5-7%,U.K. Fuggle,
English & Scottish Strong Ale,Bramling Cross (U.K.),5-7%,"U.K. Kent Golding, U.K. Progress, Whitbread Golding Variety","Quite mild, fruity currant aroma."
English & Scottish Strong Ale,Brewer's Gold (U.S.),7-10%,Bullion,Bittering hop with neutral aroma character.
English & Scottish Strong Ale,Brewer's Gold (German),6-7%,"Bullion, Galena, Northdown, Northern Brewer","Black currant, fruity, spicy."
English & Scottish Strong Ale,Bullion (U.K.),6.5-9%,"Columbus, Northern Brewer",A rich hop primarily used for bittering. Intense blackcurrant aroma.
English & Scottish Strong Ale,Celeia (Slovenia),3-6%,Styrian Golding,"Moderate and pleasant zesty bitterness with matching floral aroma, making its use widespread in both ale and lager brewing. Stores very well."
English & Scottish Strong Ale,Challenger (U.K.),6.5-8.5%,"Northern Brewer, U.S. or German Perle","Mild to moderate, quite spicy."
English & Scottish Strong Ale,El Dorado (U.S.),14-16%,,"Dual purpose hop with fruity, tropical flavors."
English & Scottish Strong Ale,First Gold (U.K.),6.5-8.5%,"maybe Crystal, U.K. Kent Golding",A little like Golding family; spicy.
English & Scottish Strong Ale,Fuggle (U.K.),4-5.5%,"Styrian Golding, U.S. Fuggle, Willamette","Mild, pleasant, hoppy, and robust."
English & Scottish Strong Ale,Fuggle (U.S.),4-5.5%,"Styrian Golding, U.K. Fuggle, U.S. Tettnanger, Willamette","Mild and pleasant, earthy and fruity."
English & Scottish Strong Ale,Golding (U.S.),4-6%,"U.K. Golding, U.K. Progress, Whitbread Golding Variety","Mild, extremely pleasant, and gently hoppy."
English & Scottish Strong Ale,Herald (U.K.),11-13%,,New dual-purpose hop
